Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,RFM_sum,Segment,KMeans_Cluster,DBSCAN_Cluster,BGNBD_repeat_freq,BGNBD_recency_days,BGNBD_age_days,BGNBD_avg_order_value,predicted_purchases_6m,expected_avg_value,CLV_6m,CLV_Bucket,gross_vs_net_gap
12346,326.0,3.0,-263.679999999993,2,3,1,231,6,At Risk,0,0,1.0,118.0,648.0,142.31,0.2612054847065662,155.62918781087484,40.651197436628784,Low,405.989999999993
12347,2.0,8.0,5633.32,5,4,5,545,14,Champions,1,-1,7.0,402.0,405.0,717.3985714285715,2.8733508179001337,720.1370546407096,2069.206394952076,High,-611.5299999999997
12348,75.0,5.0,2019.4,3,4,4,344,11,Loyal Customers,3,1,4.0,363.0,439.0,449.31,1.5890620158221744,453.41130229505256,720.4986780215336,Medium,-222.16000000000008
12349,19.0,4.0,4404.54,4,3,5,435,12,Loyal Customers,3,1,3.0,571.0,590.0,1120.0566666666666,0.9744081720625979,1127.8549022459094,1098.9910336492767,High,-1044.37
12350,310.0,1.0,334.4,2,1,2,212,5,Hibernating/Lost,0,2,0.0,0.0,311.0,0.0,0.3151559889210759,470.98914615257866,148.43505012680907,Low,-334.4
12351,375.0,1.0,300.93,2,1,2,212,5,Hibernating/Lost,0,2,0.0,0.0,376.0,0.0,0.2692811004844868,470.98914615257866,126.82847559221516,Low,-300.93
12352,36.0,10.0,1889.21,4,5,4,454,13,Champions,1,1,7.0,356.0,393.0,369.39428571428573,2.9219884201808974,371.61679196304055,1085.859962860778,High,696.5500000000002
12353,204.0,2.0,406.76,2,2,2,222,6,Hibernating/Lost,0,3,1.0,204.0,409.0,89.0,0.5403980783657558,101.76093202451405,54.99141211875569,Low,-317.76
12354,232.0,1.0,1079.4,2,1,3,213,6,Hibernating/Lost,0,2,0.0,0.0,233.0,0.0,0.3962272512063683,470.98914615257866,186.6187347280707,Low,-1079.4
12355,214.0,2.0,947.61,2,2,3,223,7,Hibernating/Lost,0,3,1.0,353.0,568.0,459.4,0.418675334927422,476.0397154285288,199.30608729579393,Low,-488.21000000000004
12356,23.0,6.0,6373.68,4,4,5,445,13,Champions,1,-1,5.0,402.0,425.0,1092.648,2.0218834183593133,1097.2635355170069,2218.5389480321514,High,-910.4400000000005
12357,33.0,3.0,18287.66,4,3,5,435,12,Loyal Customers,1,-1,1.0,355.0,389.0,6207.67,0.610696526592158,6284.504894364264,3837.925310339673,High,-12079.99
12358,2.0,5.0,3887.07,5,4,5,545,14,Champions,1,-1,4.0,730.0,732.0,614.3100000000001,1.0285954297289202,618.8399010641434,636.5358939684751,Medium,-1429.83
12359,58.0,10.0,8714.89,4,5,5,455,14,Champions,1,-1,8.0,677.0,735.0,1012.1312499999999,1.9038343840393916,1014.9092764089468,1932.219177107892,High,-617.8400000000001
12360,52.0,8.0,4212.89,4,4,5,445,13,Champions,1,1,6.0,603.0,656.0,682.4816666666667,1.6198025755531777,685.6169397208809,1110.5640848027706,High,-118.0
12361,287.0,4.0,511.25,2,3,2,232,7,At Risk,0,1,3.0,395.0,683.0,134.01666666666668,0.7691039897469948,138.39686772775988,106.44158313790723,Low,-109.19999999999993
12362,3.0,11.0,5284.58,5,5,5,555,15,Champions,1,1,10.0,735.0,739.0,522.6229999999999,2.3542915731945997,524.3370237516046,1234.4422365323394,High,-58.350000000000364
12363,110.0,2.0,552.0,3,2,2,322,7,Potential Loyalists,0,3,1.0,133.0,243.0,252.9,0.8489576550463617,267.3772727370357,226.9919824755253,Low,-299.1
12364,8.0,4.0,1313.1,5,3,4,534,12,Loyal Customers,3,1,3.0,105.0,113.0,229.7266666666667,3.5201933660116573,234.43863934324415,825.2693429528875,Medium,-623.9199999999998
12365,291.0,2.0,320.69,2,2,2,222,6,Hibernating/Lost,0,3,0.0,0.0,292.0,0.0,0.33168009881673316,470.98914615257866,156.21772653749608,Low,-320.69
12366,634.0,1.0,500.24,1,1,2,112,4,Hibernating/Lost,0,2,0.0,0.0,634.0,0.0,0.17073087253847158,470.98914615257866,80.41238787877947,Low,-500.24
12367,4.0,1.0,168.9,5,1,1,511,7,New Customers,3,2,0.0,0.0,5.0,0.0,1.6297824722868715,470.98914615257866,767.6098550368323,Medium,-168.9
12368,628.0,1.0,917.6999999999999,1,1,3,113,5,Hibernating/Lost,0,2,0.0,0.0,629.0,0.0,0.17194990015269698,470.98914615257866,80.98653665393991,Low,-917.6999999999999
12369,413.0,3.0,1791.15,1,3,4,134,8,At Risk,0,0,2.0,228.0,642.0,721.415,0.49662445251479503,731.0562710934387,363.06042038928655,Medium,-348.32000000000016
12370,51.0,7.0,4320.31,4,4,5,445,13,Champions,1,1,5.0,617.0,669.0,751.47,1.3503425295208638,755.3769171286501,1020.0175770171733,High,-562.96
12371,45.0,5.0,4067.38,4,4,5,445,13,Champions,3,1,3.0,601.0,646.0,1153.2333333333333,0.895014804279201,1161.1465733666184,1039.2433731011888,High,-607.6800000000003
12372,72.0,3.0,1298.04,3,3,4,334,10,Loyal Customers,3,0,2.0,225.0,297.0,449.41,1.2322694572910289,457.634487772466,563.9290018850347,Medium,-399.2199999999999
12373,311.0,3.0,1127.65,2,3,3,233,8,At Risk,0,0,2.0,362.0,674.0,344.875,0.5625470368778145,352.5549998238699,198.3287704873764,Low,-437.9000000000001
12374,25.0,4.0,2989.2200000000003,4,3,5,435,12,Loyal Customers,3,1,2.0,563.0,589.0,800.34,0.7017743008119504,810.3923650939453,568.7125353971462,Medium,-1388.5400000000002
12375,11.0,2.0,455.42,5,2,2,522,9,New Customers,3,3,1.0,88.0,99.0,227.20000000000002,1.6650821845902355,241.40814548681118,401.96440226505695,Medium,-228.22
12376,390.0,2.0,503.15,2,2,2,222,6,Hibernating/Lost,0,3,1.0,28.0,418.0,70.6,0.3108807994257814,83.16824947960619,25.8554118850628,Low,-432.54999999999995
12377,315.0,4.0,3426.32,2,3,5,235,10,At Risk,0,1,3.0,274.0,590.0,738.4533333333334,0.7915302836976479,744.9287692639066,589.6336800699996,Medium,-1210.96
12378,130.0,2.0,5416.32,3,2,5,325,10,Potential Loyalists,0,-1,1.0,433.0,563.0,4008.62,0.43454694075500805,4062.426712278414,1765.3150998620101,High,-1407.6999999999998
12379,82.0,4.0,1618.27,3,3,4,334,10,Loyal Customers,3,1,3.0,453.0,535.0,417.58,1.0486123662636482,422.943152322112,443.50341975149644,Medium,-365.53
12380,22.0,11.0,7888.0,4,5,5,455,14,Champions,1,1,7.0,641.0,663.0,951.2857142857143,1.8576207918130654,954.3709759218541,1772.8593679753626,High,-1229.0
12381,5.0,5.0,1803.96,5,4,4,544,13,Champions,3,1,4.0,115.0,120.0,144.14249999999998,4.34601085435256,147.4511088716192,640.824119642378,Medium,-1227.39
12383,185.0,5.0,1839.31,3,4,4,344,11,Loyal Customers,0,1,4.0,168.0,353.0,312.46,1.5568204049451293,316.20582507353697,492.27568063699255,Medium,-589.47
12384,29.0,2.0,566.16,4,2,2,422,8,New Customers,3,3,1.0,93.0,122.0,292.58,1.447204537469902,307.47279683388047,444.97602672655313,Medium,-273.58
