Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,RFM_sum,Segment,KMeans_Cluster,DBSCAN_Cluster
12346,326.0,3.0,-263.679999999993,2,3,1,231,6,At Risk,0,0
12347,2.0,8.0,5633.32,5,4,5,545,14,Champions,1,-1
12348,75.0,5.0,2019.4,3,4,4,344,11,Loyal Customers,3,1
12349,19.0,4.0,4404.54,4,3,5,435,12,Loyal Customers,3,1
12350,310.0,1.0,334.4,2,1,2,212,5,Hibernating/Lost,0,2
12351,375.0,1.0,300.93,2,1,2,212,5,Hibernating/Lost,0,2
12352,36.0,10.0,1889.21,4,5,4,454,13,Champions,1,1
12353,204.0,2.0,406.76,2,2,2,222,6,Hibernating/Lost,0,3
12354,232.0,1.0,1079.4,2,1,3,213,6,Hibernating/Lost,0,2
12355,214.0,2.0,947.61,2,2,3,223,7,Hibernating/Lost,0,3
12356,23.0,6.0,6373.68,4,4,5,445,13,Champions,1,-1
12357,33.0,3.0,18287.66,4,3,5,435,12,Loyal Customers,1,-1
12358,2.0,5.0,3887.07,5,4,5,545,14,Champions,1,-1
12359,58.0,10.0,8714.89,4,5,5,455,14,Champions,1,-1
12360,52.0,8.0,4212.89,4,4,5,445,13,Champions,1,1
12361,287.0,4.0,511.25,2,3,2,232,7,At Risk,0,1
12362,3.0,11.0,5284.58,5,5,5,555,15,Champions,1,1
12363,110.0,2.0,552.0,3,2,2,322,7,Potential Loyalists,0,3
12364,8.0,4.0,1313.1,5,3,4,534,12,Loyal Customers,3,1
12365,291.0,2.0,320.69,2,2,2,222,6,Hibernating/Lost,0,3
12366,634.0,1.0,500.24,1,1,2,112,4,Hibernating/Lost,0,2
12367,4.0,1.0,168.9,5,1,1,511,7,New Customers,3,2
12368,628.0,1.0,917.6999999999999,1,1,3,113,5,Hibernating/Lost,0,2
12369,413.0,3.0,1791.15,1,3,4,134,8,At Risk,0,0
12370,51.0,7.0,4320.31,4,4,5,445,13,Champions,1,1
12371,45.0,5.0,4067.38,4,4,5,445,13,Champions,3,1
12372,72.0,3.0,1298.04,3,3,4,334,10,Loyal Customers,3,0
12373,311.0,3.0,1127.65,2,3,3,233,8,At Risk,0,0
12374,25.0,4.0,2989.2200000000003,4,3,5,435,12,Loyal Customers,3,1
12375,11.0,2.0,455.42,5,2,2,522,9,New Customers,3,3
12376,390.0,2.0,503.15,2,2,2,222,6,Hibernating/Lost,0,3
12377,315.0,4.0,3426.32,2,3,5,235,10,At Risk,0,1
12378,130.0,2.0,5416.32,3,2,5,325,10,Potential Loyalists,0,-1
12379,82.0,4.0,1618.27,3,3,4,334,10,Loyal Customers,3,1
12380,22.0,11.0,7888.0,4,5,5,455,14,Champions,1,1
12381,5.0,5.0,1803.96,5,4,4,544,13,Champions,3,1
12383,185.0,5.0,1839.31,3,4,4,344,11,Loyal Customers,0,1
12384,29.0,2.0,566.16,4,2,2,422,8,New Customers,3,3
