Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,RFM_sum,Segment
12346,326.0,3.0,-263.679999999993,2,3,1,231,6,At Risk
12347,2.0,8.0,5633.32,5,4,5,545,14,Champions
12348,75.0,5.0,2019.4,3,4,4,344,11,Loyal Customers
12349,19.0,4.0,4404.54,4,3,5,435,12,Loyal Customers
12350,310.0,1.0,334.4,2,1,2,212,5,Hibernating/Lost
12351,375.0,1.0,300.93,2,1,2,212,5,Hibernating/Lost
12352,36.0,10.0,1889.21,4,5,4,454,13,Champions
12353,204.0,2.0,406.76,2,2,2,222,6,Hibernating/Lost
12354,232.0,1.0,1079.4,2,1,3,213,6,Hibernating/Lost
12355,214.0,2.0,947.61,2,2,3,223,7,Hibernating/Lost
12356,23.0,6.0,6373.68,4,4,5,445,13,Champions
12357,33.0,3.0,18287.66,4,3,5,435,12,Loyal Customers
12358,2.0,5.0,3887.07,5,4,5,545,14,Champions
12359,58.0,10.0,8714.89,4,5,5,455,14,Champions
12360,52.0,8.0,4212.89,4,4,5,445,13,Champions
12361,287.0,4.0,511.25,2,3,2,232,7,At Risk
12362,3.0,11.0,5284.58,5,5,5,555,15,Champions
12363,110.0,2.0,552.0,3,2,2,322,7,Potential Loyalists
12364,8.0,4.0,1313.1,5,3,4,534,12,Loyal Customers
12365,291.0,2.0,320.69,2,2,2,222,6,Hibernating/Lost
12366,634.0,1.0,500.24,1,1,2,112,4,Hibernating/Lost
12367,4.0,1.0,168.9,5,1,1,511,7,New Customers
12368,628.0,1.0,917.6999999999999,1,1,3,113,5,Hibernating/Lost
12369,413.0,3.0,1791.15,1,3,4,134,8,At Risk
12370,51.0,7.0,4320.31,4,4,5,445,13,Champions
12371,45.0,5.0,4067.38,4,4,5,445,13,Champions
12372,72.0,3.0,1298.04,3,3,4,334,10,Loyal Customers
12373,311.0,3.0,1127.65,2,3,3,233,8,At Risk
12374,25.0,4.0,2989.2200000000003,4,3,5,435,12,Loyal Customers
12375,11.0,2.0,455.42,5,2,2,522,9,New Customers
12376,390.0,2.0,503.15,2,2,2,222,6,Hibernating/Lost
12377,315.0,4.0,3426.32,2,3,5,235,10,At Risk
12378,130.0,2.0,5416.32,3,2,5,325,10,Potential Loyalists
12379,82.0,4.0,1618.27,3,3,4,334,10,Loyal Customers
12380,22.0,11.0,7888.0,4,5,5,455,14,Champions
12381,5.0,5.0,1803.96,5,4,4,544,13,Champions
12383,185.0,5.0,1839.31,3,4,4,344,11,Loyal Customers
12384,29.0,2.0,566.16,4,2,2,422,8,New Customers
12385,379.0,1.0,1923.4,2,1,4,214,7,Hibernating/Lost
12386,338.0,2.0,660.8,2,2,3,223,7,Hibernating/Lost
12387,415.0,1.0,143.94,1,1,1,111,3,Hibernating/Lost
12388,16.0,8.0,3901.11,5,4,5,545,14,Champions
12389,403.0,3.0,1433.33,2,3,4,234,9,At Risk
12390,80.0,1.0,549.84,3,1,2,312,6,Potential Loyalists
12391,22.0,6.0,2747.82,4,4,4,444,12,Champions
12392,591.0,1.0,234.75000000000003,1,1,1,111,3,Hibernating/Lost
12393,72.0,6.0,2376.75,3,4,4,344,11,Loyal Customers
12394,64.0,2.0,1272.48,3,2,4,324,9,Potential Loyalists
12395,19.0,15.0,5046.92,4,5,5,455,14,Champions
12396,674.0,1.0,931.43,1,1,3,113,5,Hibernating/Lost
12397,36.0,2.0,2409.9,4,2,4,424,10,New Customers
12398,46.0,1.0,1635.6599999999999,4,1,4,414,9,New Customers
12399,119.0,7.0,1962.3,3,4,4,344,11,Loyal Customers
12400,414.0,1.0,205.25,1,1,1,111,3,Hibernating/Lost
12401,303.0,1.0,84.3,2,1,1,211,4,Hibernating/Lost
12402,323.0,6.0,1244.15,2,4,4,244,10,Can't Lose Them
12403,50.0,2.0,1001.36,4,2,3,423,9,New Customers
12404,682.0,1.0,63.24,1,1,1,111,3,Hibernating/Lost
12405,149.0,1.0,1710.39,3,1,4,314,8,Potential Loyalists
12406,22.0,5.0,6072.21,4,4,5,445,13,Champions
12407,50.0,5.0,1708.1200000000001,4,4,4,444,12,Champions
12408,33.0,8.0,4279.64,4,4,5,445,13,Champions
12409,79.0,7.0,23090.47,3,4,5,345,12,Loyal Customers
12410,309.0,3.0,1001.46,2,3,3,233,8,At Risk
12411,410.0,1.0,346.9,1,1,2,112,4,Hibernating/Lost
12412,75.0,6.0,2581.03,3,4,4,344,11,Loyal Customers
12413,67.0,4.0,935.5,3,3,3,333,9,Loyal Customers
12414,217.0,6.0,692.41,2,4,3,243,9,Can't Lose Them
12415,24.0,28.0,143269.29,4,5,5,455,14,Champions
12416,657.0,1.0,202.56,1,1,1,111,3,Hibernating/Lost
12417,3.0,20.0,6708.21,5,5,5,555,15,Champions
12418,113.0,4.0,2016.95,3,3,4,334,10,Loyal Customers
12419,386.0,2.0,503.01,2,2,2,222,6,Hibernating/Lost
12420,64.0,1.0,600.39,3,1,2,312,6,Potential Loyalists
12421,16.0,6.0,1092.83,5,4,3,543,12,Champions
12422,96.0,17.0,4119.35,3,5,5,355,13,Loyal Customers
12423,1.0,10.0,2612.19,5,5,4,554,14,Champions
12424,163.0,4.0,3289.78,3,3,5,335,11,Loyal Customers
12425,78.0,2.0,1680.81,3,2,4,324,9,Potential Loyalists
12426,195.0,2.0,1311.41,2,2,4,224,8,Hibernating/Lost
12427,22.0,3.0,1011.87,4,3,3,433,10,Loyal Customers
12428,26.0,9.0,7877.2,4,5,5,455,14,Champions
12429,9.0,8.0,7435.51,5,4,5,545,14,Champions
12430,43.0,1.0,256.4,4,1,1,411,6,New Customers
12431,36.0,27.0,10719.41,4,5,5,455,14,Champions
12432,43.0,5.0,5059.32,4,4,5,445,13,Champions
12433,1.0,10.0,20428.86,5,5,5,555,15,Champions
12434,85.0,3.0,1062.48,3,3,3,333,9,Loyal Customers
12435,80.0,6.0,13925.93,3,4,5,345,12,Loyal Customers
12436,100.0,1.0,509.01,3,1,2,312,6,Potential Loyalists
12437,2.0,39.0,12394.85,5,5,5,555,15,Champions
12438,14.0,2.0,2906.85,5,2,5,525,12,New Customers
12439,683.0,2.0,1104.48,1,2,3,123,6,Hibernating/Lost
12440,462.0,2.0,768.15,1,2,3,123,6,Hibernating/Lost
12441,367.0,1.0,347.1,2,1,2,212,5,Hibernating/Lost
12442,3.0,1.0,172.06,5,1,1,511,7,New Customers
12443,732.0,1.0,485.31,1,1,2,112,4,Hibernating/Lost
12444,21.0,5.0,5005.46,4,4,5,445,13,Champions
