Customer ID,Recency,Frequency,Monetary
12346,326.0,3.0,-263.679999999993
12347,2.0,8.0,5633.32
12348,75.0,5.0,2019.4
12349,19.0,4.0,4404.54
12350,310.0,1.0,334.4
12351,375.0,1.0,300.93
12352,36.0,10.0,1889.21
12353,204.0,2.0,406.76
12354,232.0,1.0,1079.4
12355,214.0,2.0,947.61
12356,23.0,6.0,6373.68
12357,33.0,3.0,18287.66
12358,2.0,5.0,3887.07
12359,58.0,10.0,8714.89
12360,52.0,8.0,4212.89
12361,287.0,4.0,511.25
12362,3.0,11.0,5284.58
12363,110.0,2.0,552.0
12364,8.0,4.0,1313.1
12365,291.0,2.0,320.69
12366,634.0,1.0,500.24
12367,4.0,1.0,168.9
12368,628.0,1.0,917.6999999999999
12369,413.0,3.0,1791.15
12370,51.0,7.0,4320.31
12371,45.0,5.0,4067.38
12372,72.0,3.0,1298.04
12373,311.0,3.0,1127.65
12374,25.0,4.0,2989.2200000000003
12375,11.0,2.0,455.42
12376,390.0,2.0,503.15
12377,315.0,4.0,3426.32
12378,130.0,2.0,5416.32
12379,82.0,4.0,1618.27
12380,22.0,11.0,7888.0
12381,5.0,5.0,1803.96
12383,185.0,5.0,1839.31
12384,29.0,2.0,566.16
12385,379.0,1.0,1923.4
12386,338.0,2.0,660.8
12387,415.0,1.0,143.94
12388,16.0,8.0,3901.11
12389,403.0,3.0,1433.33
12390,80.0,1.0,549.84
12391,22.0,6.0,2747.82
12392,591.0,1.0,234.75000000000003
12393,72.0,6.0,2376.75
12394,64.0,2.0,1272.48
12395,19.0,15.0,5046.92
12396,674.0,1.0,931.43
12397,36.0,2.0,2409.9
12398,46.0,1.0,1635.6599999999999
12399,119.0,7.0,1962.3
12400,414.0,1.0,205.25
12401,303.0,1.0,84.3
12402,323.0,6.0,1244.15
12403,50.0,2.0,1001.36
12404,682.0,1.0,63.24
12405,149.0,1.0,1710.39
12406,22.0,5.0,6072.21
12407,50.0,5.0,1708.1200000000001
12408,33.0,8.0,4279.64
12409,79.0,7.0,23090.47
12410,309.0,3.0,1001.46
12411,410.0,1.0,346.9
12412,75.0,6.0,2581.03
12413,67.0,4.0,935.5
12414,217.0,6.0,692.41
12415,24.0,28.0,143269.29
12416,657.0,1.0,202.56
12417,3.0,20.0,6708.21
12418,113.0,4.0,2016.95
12419,386.0,2.0,503.01
12420,64.0,1.0,600.39
12421,16.0,6.0,1092.83
12422,96.0,17.0,4119.35
12423,1.0,10.0,2612.19
12424,163.0,4.0,3289.78
12425,78.0,2.0,1680.81
12426,195.0,2.0,1311.41
12427,22.0,3.0,1011.87
12428,26.0,9.0,7877.2
12429,9.0,8.0,7435.51
12430,43.0,1.0,256.4
12431,36.0,27.0,10719.41
12432,43.0,5.0,5059.32
12433,1.0,10.0,20428.86
12434,85.0,3.0,1062.48
12435,80.0,6.0,13925.93
12436,100.0,1.0,509.01
12437,2.0,39.0,12394.85
12438,14.0,2.0,2906.85
12439,683.0,2.0,1104.48
12440,462.0,2.0,768.15
12441,367.0,1.0,347.1
12442,3.0,1.0,172.06
12443,732.0,1.0,485.31
12444,21.0,5.0,5005.46
12445,22.0,2.0,426.48
12446,58.0,1.0,1002.3100000000001
12447,243.0,1.0,476.49
12448,44.0,1.0,449.45
12449,22.0,6.0,4835.89
12450,156.0,5.0,666.95
12451,11.0,8.0,12546.53
12452,17.0,2.0,428.57
12453,134.0,1.0,707.09
12454,56.0,5.0,4292.71
12455,73.0,10.0,5879.95
12456,44.0,3.0,3153.89
12457,66.0,8.0,2472.31
12458,71.0,4.0,1777.49
12459,605.0,1.0,454.36
12460,456.0,1.0,326.65
12461,94.0,2.0,826.88
12462,19.0,2.0,1124.01
12463,53.0,4.0,1303.63
12464,10.0,8.0,1212.05
12465,17.0,2.0,733.89
12466,682.0,1.0,56.73
12467,423.0,1.0,0.0
12468,188.0,5.0,3624.55
12469,523.0,2.0,3070.54
12470,690.0,1.0,211.95
12471,2.0,79.0,37948.61
12472,32.0,19.0,16956.69
12473,29.0,5.0,2848.23
12474,17.0,31.0,11966.45
12475,54.0,2.0,1149.64
12476,16.0,23.0,13715.62
12477,23.0,9.0,20173.64
12478,4.0,1.0,680.99
12479,11.0,1.0,477.3
12480,28.0,7.0,5435.1
12481,23.0,15.0,12217.03
12482,576.0,29.0,21893.53
12483,17.0,19.0,4846.87
12484,33.0,12.0,6303.85
12485,529.0,1.0,708.1
12486,432.0,1.0,1037.28
12487,731.0,1.0,259.79999999999995
